"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Корректность отображения всех элементов экрана О приложении","13031","Проверка элементов экрана","","Tue Sep 24 00:19:27 NOVT 2024","passed","Tue Sep 24 00:19:40 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AboutUsTest","ru.iteco.fmhandroid.ui.test.AboutUsTest","shouldCheckAboutUsScreenElements"
"Выход из экрана фильтра без фильтрации новостей","13363","Отмена фильтрации","","Fri Sep 20 09:49:16 NOVT 2024","passed","Fri Sep 20 09:49:29 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelFilter"
"","26256","exitTest","","Thu Sep 19 14:39:35 NOVT 2024","broken","Thu Sep 19 14:40:01 NOVT 2024","","ru.iteco.fmhandroid.ui.NavigationTest","ru.iteco.fmhandroid.ui.NavigationTest","exitTest"
"При заполнении текстовых полей валидными данными на латинице создается новость","20824","Создать новость на латинице","","Fri Sep 20 09:51:53 NOVT 2024","broken","Fri Sep 20 09:52:14 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCreateNewsLatin"
"Пользователь авторизуется с валидными данными и выходит из приложения с помощью кнопки Выйти","11382","Авторизация и выход","","Sat Sep 21 20:14:22 NOVT 2024","passed","Sat Sep 21 20:14:33 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldLogInAndLogOut"
"При заполнении текстовых полей пробелом новость не создается, всплывает предупреждение о необходимости зполнить поля","14497","Создать новость с пробелами","","Fri Sep 20 09:47:50 NOVT 2024","passed","Fri Sep 20 09:48:04 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCreateNewsWithSpaces"
"Новость с пустыми полями не создается, всплывает предупреждение о необходимости заполнить поля полях","17256","Создать новость с пустыми полями","","Fri Sep 20 09:48:45 NOVT 2024","passed","Fri Sep 20 09:49:02 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldNotCreateNewsWithEmptyFields"
"При нажатии на название экрана в выпадающем списке кнопки меню, пользователь переходит на соответствующую страницу приложения","27978","Переход по вкладкам с помощью кнопки меню","","Sat Sep 21 19:12:25 NOVT 2024","passed","Sat Sep 21 19:12:53 NOVT 2024","","ru.iteco.fmhandroid.ui.test.MainScreenTest","ru.iteco.fmhandroid.ui.test.MainScreenTest","shouldCheckTransitionToScreensViaMenuBtn"
"Если отмена редактирования не подтверждается, редактирование новости может быть продолжено","18251","Отмена редактирование новости и возврат к редактированию","","Fri Sep 20 09:51:17 NOVT 2024","passed","Fri Sep 20 09:51:35 NOVT 2024","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldCancelNewsEditingAndReturnToEditing"
"При попытке авторизации с невалидным логином пользователь не авторизуется, всплывает собщение о неверно заполненном поле","28311","В поле Логин ввести невалидный логин","","Thu Sep 19 19:00:12 NOVT 2024","broken","Thu Sep 19 19:00:40 NOVT 2024","","ru.iteco.fmhandroid.ui.test.AuthTest","ru.iteco.fmhandroid.ui.test.AuthTest","shouldNotLogInWithInvalidLogin"
